JobID,Job Title,Salary Estimate,NumberofReviews,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,CompanyType,Industry,Sector,Revenue,Competitors,Easy Apply,No.OFApplicants
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),86,3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Type 4,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE,728
1,Quality Data Analyst,$37K-$66K (Glassdoor est.),192,3.8,"Visiting Nurse Service of New York
3.8","New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Type 5,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,378
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),84,3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Type 6,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,354
3,Data Analyst,$37K-$66K (Glassdoor est.),116,4.1,"Celerity
4.1","New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,Type 2,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,108
4,Reporting Data Analyst,$37K-$66K (Glassdoor est.),196,3.9,"FanDuel
3.9","New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Type 4,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,TRUE,524
5,Data Analyst,$37K-$66K (Glassdoor est.),172,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Type 7,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,329
6,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),55,4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Type 7,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,129
7,Data Science Analyst,$37K-$66K (Glassdoor est.),69,3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Type 9,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE,823
8,Data Analyst,$37K-$66K (Glassdoor est.),51,4,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Type 7,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,280
9,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),70,4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Type 2,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,300
10,Data Analyst,$37K-$66K (Glassdoor est.),180,4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Type 2,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,666
11,Data Analyst,$37K-$66K (Glassdoor est.),145,-1,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,Type 7,-1,-1,Unknown / Non-Applicable,-1,-1,909
12,DATA ANALYST,$37K-$66K (Glassdoor est.),93,3.7,"Montefiore Medical
3.7","New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Type 3,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,46
13,Senior Data Analyst,$37K-$66K (Glassdoor est.),126,3,"Known
3.0","New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Type 1,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE,221
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),114,3.4,"Advisor Group
3.4","Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Type 4,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1,369
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),198,3.6,"CodeGreen Solutions
3.6","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 3,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,359
16,Data Analyst,$37K-$66K (Glassdoor est.),120,3.8,"Undertone
3.8","New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Type 3,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",TRUE,415
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),87,3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Type 9,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1,96
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),197,3.9,"Education Development Center, Inc.
3.9","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Type 7,Research & Development,Business Services,$100 to $500 million (USD),-1,-1,985
19,Data Analyst,$37K-$66K (Glassdoor est.),51,4.9,"Teachers Pay Teachers
4.9","New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Type 6,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,247
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),73,4.4,"Google
4.4","New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Type 7,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1,868
21,Data Science Analyst,$37K-$66K (Glassdoor est.),195,-1,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,Type 6,-1,-1,Unknown / Non-Applicable,-1,-1,679
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),84,3.3,"Macquarie Group
3.3","New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Type 9,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1,163
23,Data Analyst,$37K-$66K (Glassdoor est.),82,3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Type 6,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,511
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),93,3.8,"Dash Technologies Inc
3.8","New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,897
25,Data Analyst,$37K-$66K (Glassdoor est.),195,4,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Type 5,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,160
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),68,5,"Duolingo
5.0","New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Type 9,Internet,Information Technology,$10 to $25 million (USD),-1,-1,288
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),124,4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Type 9,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,19
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),159,3.7,"Endai
3.7","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 1,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,962
29,Data Analyst,$37K-$66K (Glassdoor est.),148,4.7,"BlueLabs
4.7","New York, NY","Washington, DC",1 to 50 employees,-1,Company - Private,Type 8,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,221
30,Data Analyst,$46K-$87K (Glassdoor est.),190,3.6,"Revel
3.6","Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Type 9,Consulting,Business Services,$25 to $50 million (USD),-1,TRUE,103
31,Data Analyst,$46K-$87K (Glassdoor est.),74,3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ","Newtown, PA",1 to 50 employees,-1,Company - Private,Type 6,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1,540
32,Data Analyst,$46K-$87K (Glassdoor est.),138,3.5,"Pozent
3.5","New York, NY","Piscataway, NJ",1 to 50 employees,-1,Contract,Type 9,-1,-1,Less than $1 million (USD),-1,-1,763
33,"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),73,3.2,"SoFi
3.2","New York, NY","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Type 2,Lending,Finance,Unknown / Non-Applicable,-1,-1,813
34,Data Analyst (Games),$46K-$87K (Glassdoor est.),103,-1,Carry1st,"New York, NY",-1,-1,-1,-1,Type 2,-1,-1,-1,-1,-1,525
35,Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),69,3.7,"Bank of America
3.7","New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Type 9,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,866
36,Data Business Analyst,$46K-$87K (Glassdoor est.),168,-1,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,Type 5,-1,-1,$1 to $5 million (USD),-1,-1,103
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),60,3.6,"Nutech Information Systems
3.6","New York, NY","Westmont, IL",1 to 50 employees,-1,Company - Private,Type 2,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1,718
38,Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),142,4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Type 7,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,998
39,Data Analyst,$46K-$87K (Glassdoor est.),75,4.6,"The Trevor Project
4.6","New York, NY","West Hollywood, CA",51 to 200 employees,-1,Nonprofit Organization,Type 8,Social Assistance,Non-Profit,$10 to $25 million (USD),-1,-1,210
40,"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),190,-1,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 6,-1,-1,Unknown / Non-Applicable,-1,-1,126
41,Behavioral Data Analyst,$46K-$87K (Glassdoor est.),183,-1,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,Company - Public,Type 6,-1,-1,Unknown / Non-Applicable,-1,-1,480
42,Data Analyst,$46K-$87K (Glassdoor est.),103,5,"Whip Media Group
5.0","New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,Type 2,-1,-1,Unknown / Non-Applicable,-1,-1,631
43,Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),166,4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Type 4,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,844
44,Data Analyst,$46K-$87K (Glassdoor est.),180,3,"Vettery
3.0","New York, NY","New York, NY",201 to 500 employees,2013,Company - Private,Type 4,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",-1,611
45,Data Analyst,$46K-$87K (Glassdoor est.),95,2.9,"Nesco Resource, LLC
2.9","New York, NY","Cleveland, OH",1001 to 5000 employees,1956,Company - Private,Type 7,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,-1,198
46,Advertising Data Analyst,$46K-$87K (Glassdoor est.),59,4,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Type 3,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,359
47,Data Analyst,$46K-$87K (Glassdoor est.),139,3.6,"MediaMath
3.6","New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Type 9,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",TRUE,208
48,Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),135,4.9,"Jordan & Jordan
4.9","New York, NY","New York, NY",1 to 50 employees,1990,Company - Private,Type 5,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,33
49,"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),194,3.9,"Roku
3.9","New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,Type 8,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,76
50,"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),51,4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Type 9,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,439
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),148,3.8,"Citadel
3.8","New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,Type 5,-1,-1,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",-1,129
52,Business Data Analyst,$46K-$87K (Glassdoor est.),84,3.7,"Xoriant Corporation
3.7","Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,Type 9,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",-1,543
53,Senior Data Analyst,$46K-$87K (Glassdoor est.),119,3.6,"Gemini
3.6","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Type 2,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,471
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),85,3.6,"TSR, Inc.
3.6","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Type 3,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,292
